timestamp,run_id,video_name,speed_mph,hook_in,boards,release_board,arrows_board,breakpoint_board,entry_board,one_two_pocket_board,entry_to_one_two_delta,pocket_target_label,pocket_quality_label,pins_left,pin_result_label,pinfall_complete,pinfall_note,pinfall_confidence,pinfall_confidence_label,leave_type_label,impact_result_label,speed_distance_ft,metric_model,shot_type,confidence,confidence_label,confidence_notes,start_frame,end_frame,waypoint_count,original_waypoints,analysis_waypoints,release_x,release_y,end_x,end_y,lane_frame,lane_calibration,lane_points,lane_quality,lane_quality_label,lane_quality_notes,quality_score,quality_label,quality_notes,consistency_label,consistency_notes,consistency_baseline_runs,consistency_delta_boards,consistency_delta_hook,consistency_delta_speed,raw_output_video,output_video,output_preview,tracking_mode,output_style
2026-04-20 17:01:34,502d10a610,bowling_working.mp4,15.77,7.79,7.32,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Saved camera calibration was used for this analysis. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,649,392,484,283,293,saved,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",,,,,,,,,,runs/502d10a610_tracked.mp4,runs/502d10a610_tracked_browser.mp4,runs/502d10a610_preview.jpg,manual_waypoints,
2026-04-20 17:24:25,71cba11a09,bowling_working.mp4,15.77,7.91,7.43,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Saved camera calibration was used for this analysis. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,648,389,484,283,293,saved,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",,,,,,,,,,runs/71cba11a09_tracked.mp4,runs/71cba11a09_tracked_browser.mp4,runs/71cba11a09_preview.jpg,manual_waypoints,
2026-04-20 17:24:30,ce5068edc7,bowling_working.mp4,15.77,7.91,7.43,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Saved camera calibration was used for this analysis. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,648,389,484,283,293,saved,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",,,,,,,,,,runs/ce5068edc7_tracked.mp4,runs/ce5068edc7_tracked_browser.mp4,runs/ce5068edc7_preview.jpg,manual_waypoints,
2026-04-20 17:56:14,f5cd2bd043,bowling_working.mp4,15.77,8.28,7.79,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Saved camera calibration was used for this analysis. | Lighting normalization was applied before lane analysis to reduce glare and shadow swings between videos. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,643,390,482,282,293,saved,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",,,,,,,,,,runs/f5cd2bd043_tracked.mp4,runs/f5cd2bd043_tracked_browser.mp4,runs/f5cd2bd043_preview.jpg,manual_waypoints,
2026-04-20 21:29:33,02c96448dc,bowling_working.mp4,15.77,9.23,8.68,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Saved camera calibration was used for this analysis. | Lighting normalization was applied before lane analysis to reduce glare and shadow swings between videos. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,645,391,483,284,293,saved,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",100,Ready,No action needed for this run. Keep using the same saved camera profile for comparable results.,,,,,,,runs/02c96448dc_tracked.mp4,runs/02c96448dc_tracked_browser.mp4,runs/02c96448dc_preview.jpg,manual_waypoints,
2026-04-20 21:35:10,d9fd0e05b6,bowling_working.mp4,15.77,7.86,7.39,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Saved camera calibration was used for this analysis. | Lighting normalization was applied before lane analysis to reduce glare and shadow swings between videos. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,646,389,485,283,293,saved,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",100,Ready,No action needed for this run. Keep using the same saved camera profile for comparable results.,,,,,,,runs/d9fd0e05b6_tracked.mp4,runs/d9fd0e05b6_tracked_browser.mp4,runs/d9fd0e05b6_preview.jpg,manual_waypoints,
2026-04-20 21:47:33,45525dce63,bowling_working.mp4,15.77,8.81,8.28,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Saved camera calibration was used for this analysis. | Lighting normalization was applied before lane analysis to reduce glare and shadow swings between videos. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,646,389,488,284,293,saved,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",100,Ready,No action needed for this run. Keep using the same saved camera profile for comparable results.,,,,,,,runs/45525dce63_tracked.mp4,runs/45525dce63_tracked_browser.mp4,runs/45525dce63_preview.jpg,manual_waypoints,
2026-04-20 22:41:05,96b16b5c39,bowling_working.mp4,15.77,8.81,8.28,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Saved camera calibration was used for this analysis. | Lighting normalization was applied before lane analysis to reduce glare and shadow swings between videos. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,646,389,488,284,293,saved,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",100,Ready,No action needed for this run. Keep using the same saved camera profile for comparable results.,,,,,,,runs/96b16b5c39_tracked.mp4,runs/96b16b5c39_tracked_browser.mp4,runs/96b16b5c39_preview.jpg,manual_waypoints,
2026-04-20 22:44:09,aa7c58e7e9,bowling_working.mp4,15.77,8.81,8.28,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Saved camera calibration was used for this analysis. | Lighting normalization was applied before lane analysis to reduce glare and shadow swings between videos. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,646,389,488,284,293,saved,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",100,Ready,No action needed for this run. Keep using the same saved camera profile for comparable results.,,,,,,,runs/aa7c58e7e9_tracked.mp4,runs/aa7c58e7e9_tracked_browser.mp4,runs/aa7c58e7e9_preview.jpg,manual_waypoints,
2026-04-20 22:51:22,2001ec1df9,bowling_working.mp4,15.77,7.32,6.88,,,,,,,,,,,,,,,,,,,Hook,100,Good,"Waypoints look well spaced for a guided prototype analysis. | Saved camera calibration was used for this analysis. | Lighting normalization was applied before lane analysis to reduce glare and shadow swings between videos. | Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",293,371,4,,,648,392,485,283,293,saved,"[{""x"":461,""y"":429},{""x"":958,""y"":426},{""x"":590,""y"":292},{""x"":443,""y"":293}]",100,Good,"Lane calibration looks usable: bottom boxes on the foul line, top boxes near the pin deck. The top line is expected to be smaller from this camera angle.",100,Ready,No action needed for this run. Keep using the same saved camera profile for comparable results.,,,,,,,runs/2001ec1df9_tracked.mp4,runs/2001ec1df9_tracked_browser.mp4,runs/2001ec1df9_preview.jpg,manual_waypoints,
